Age,sleep_hours,screen_time,water_intake,steps,food_habit,work_hours,stress_level,bmi,health_risk
19,6,6,2.0,3000,1,8,10,22.58,High
19,7,12,0.5,6000,1,8,8,23.03,High
32,6,5,0.5,10000,1,8,10,21.22,High
20,8,4,1.0,20000,1,4,5,19.53,Medium
19,8,15,0.5,6000,1,2,5,15.22,Medium
20,8,8,2.5,2500,1,7,10,23.11,High
19,6,8,2.0,9000,1,6,6,17.3,Medium
20,6,12,3.0,2000,1,5,5,23.03,Medium
20,7,15,6.0,10000,0,8,2,25.28,Medium
21,7,4,5.0,4000,1,8,10,16.33,High
21,8,5,1.0,4137,1,9,5,24.22,Medium
20,7,5,4.0,600,1,8,2,20.2,Low
19,6,5,2.0,3000,1,5,5,19.72,Medium
19,7,5,2.5,4000,1,2,5,24.69,Medium
32,8,1,2.0,1000,0,2,3,26.67,Medium
47,8,2,2.0,15000,0,2,5,23.44,Medium
15,7,2,3.0,20000,1,2,1,27.78,Medium
20,7,4,3.0,500,1,8,5,21.75,Medium
20,9,5,3.0,800,2,2,10,23.73,High
20,7,2,3.0,3000,0,5,2,17.58,Low
20,6,3,3.0,5000,1,10,8,20.68,High
20,8,12,4.0,2000,1,8,4,28.89,Medium
20,7,12,4.0,2000,1,7,2,24.62,Low
19,6,7,2.0,1000,1,8,10,20.34,High
23,8,13,6.0,3423,1,5,2,26.63,Medium
21,5,14,5.0,2300,1,5,2,36.42,High
21,6,12,6.0,3453,1,6,2,27.39,Medium
45,4,5,5.0,5000,1,6,2,26.67,High
34,6,6,6.0,5843,0,7,2,24.09,Low
67,6,7,6.0,3456,2,5,3,32.05,High
23,12,12,4.0,2134,2,3,3,29.74,High
20,5,3,5.0,4545,0,5,3,23.01,Low
23,6,3,2.0,2321,0,4,4,23.01,Low
23,5,1,3.0,3454,1,4,3,33.77,High
23,5,6,3.0,2345,0,5,2,54.63,High
23,3,5,4.0,2434,2,5,3,9.03,High
23,5,5,6.0,4545,0,6,2,18.49,Low
34,4,3,5.0,3211,0,8,4,17.09,High
34,5,4,3.0,3000,2,5,1,15.67,High
43,6,4,5.0,5454,0,5,3,19.74,Low
32,3,4,5.0,3411,0,5,1,32.49,High
23,5,3,4.0,4000,2,5,4,22.63,High
23,4,6,6.0,4321,2,5,5,18.37,High
34,5,6,4.0,4345,2,6,6,25.08,High
19,5,4,3.0,6000,1,5,5,21.3,Medium
54,5,4,4.0,4000,2,7,7,17.36,High
23,5,4,4.0,6000,2,7,10,21.6,High
25,6,13,5.0,3000,2,4,5,28.51,High
34,4,5,6.0,4000,1,5,5,17.1,High
27,5,5,6.0,4545,0,6,2,19.22,Low
33,4,5,3.0,5353,1,5,1,23.07,High
24,5,6,3.0,3553,2,5,2,22.48,High
26,6,7,6.0,4545,0,5,3,19.84,Low
34,6,8,5.0,5456,2,6,1,31.19,High
43,4,6,4.0,3543,0,5,3,25.44,High
45,4,6,5.0,3434,2,4,5,26.63,High
34,5,6,5.0,4500,1,5,2,23.01,Low
34,6,7,5.0,3422,2,5,1,25.06,High
34,4,6,5.0,3422,1,5,4,20.08,High
23,6,7,5.0,3434,2,6,1,23.01,High
34,5,4,4.0,3434,2,4,4,23.01,High
23,5,6,5.0,3422,1,5,3,20.82,Low
23,5,6,4.0,4546,1,5,2,21.63,Low
34,5,6,3.0,4567,0,7,4,20.57,Low
23,5,7,4.0,3123,2,7,5,27.97,High
15,5,6,5.0,4090,2,6,3,18.08,High
34,6,7,4.0,4353,2,6,2,17.67,High
45,4,6,5.0,4534,1,5,8,21.15,High
32,5,6,6.0,4544,2,3,1,17.09,High
19,8,7,3.0,10000,1,8,8,31.36,High
20,8,4,1.5,500,1,9,1,23.88,Low
18,8,8,2.0,10000,1,8,5,10.5,Medium
19,7,6,4.0,600,1,5,6,20.06,Medium
18,7,5,3.0,600,1,7,4,22.96,Low
25,7,2,1.0,3000,0,2,3,30.08,High
43,8,1,3.0,3000,0,4,2,19.03,Low
25,6,5,1.0,2000,1,6,7,22.96,Medium
40,8,1,5.0,3000,0,3,1,26.64,Medium
18,6,5,0.5,1000,2,2,2,20.0,High
20,6,3,1.0,1000,2,5,4,22.22,High
40,7,5,3.0,1000,0,6,6,26.56,Medium
23,3,7,2.0,1000,2,8,10,25.51,High
20,6,5,0.5,2000,2,2,7,24.65,High
29,5,7,1.0,2000,1,7,9,22.84,High
24,6,4,3.0,3000,2,2,1,35.69,High
15,8,1,4.0,1000,0,2,1,20.83,Low
19,6,5,1.0,3000,1,5,7,24.97,Medium
22,7,3,4.0,7000,1,8,5,22.86,Medium
22,6,4,5.0,5000,1,7,6,24.39,Medium
25,7,4,2.0,6000,0,8,6,22.22,Medium
23,7,5,0.5,2000,0,5,4,26.53,Medium
20,8,6,3.0,3000,2,9,6,28.06,High
20,5,1,2.0,1000,2,2,6,24.38,High
45,8,1,5.0,3000,0,4,1,29.41,Medium
29,5,2,3.0,9000,1,9,8,24.51,High
30,8,3,3.0,5000,2,8,5,23.44,High
58,8,1,6.0,3000,0,2,1,40.82,High
34,4,8,2.0,1000,1,8,10,29.33,High
25,8,4,2.0,3000,1,8,8,26.67,High
19,5,2,6.0,1000,2,2,3,26.63,High
